date,SKUCode,Description,total_qty
20260102,1225119015010QSTL0,195R15 LT STEEL KING TT  10 PR,103
20260102,1225121715115SSTL0,215 / 75 R 15 STEEL KING TT,1445
20260102,1225121716010SXC10,NA,1017
20260102,1225121Z14112LSTL0,215 R14 STEEL KING TT,444
20260102,1225170015010LSTL0,7.00R15 STEEL KING TT 10PR,2966
20260102,1225170015012LSTL0,7.00R15 STEEL KING TT 12PR,17502
20260102,1225175016012NJTL0,7.50R16 LT JUH STEEL TT,98
20260102,1225219015008SLTB0,195/80R15 BRUTE LT 8PR S TL,788
20260102,1225219015010QSTL0,    195R15 LT STEEL KING TL  10 PR,355
20260102,1225220Z16008RXC10,205 R 16 ULTIMA XPC -1 TL,648
20260102,1225221715115SSTL0,215 / 75 R 15 STEEL KING TL,2091
20260102,1225221716010SXC10,NA,8310
20260102,1225222716121MXC11,225/75 R 16 ULTIMA XPC -1 TL VOLVO,360
20260102,1225222716121NXC11,NA,507
20260102,1225223516121PSKP0,235/65 R 16 STEEL KING+ TL,4477
20260102,1325114612069TUHL0,145/70R12 ULTIMA HILIFE69T TT,7808
20260102,1325114613071TTMX0,145/70 R 13 TAXIMAX TT  71T,632
20260102,1325114812074TUHL0,145/80R12 ULTIMA HILIFE TT 74T ,11488
20260102,1325119015008SRBT0,195 R15 LT RANGER BRT TT,608
20260102,1325119815106QBRQ0,195 / 80 R15 BRUTE TT  ,7956
20260102,1325121715100SBRT0,215/75 R15 BRUTE 4X4 TT,1595
20260102,1325121715100SRBT0,NA,1641
20260102,1325121715100SRXT0,215/75 R 15 RANGER X-AT  TT,443
20260102,1325121715115SLTB0,215 / 75 R 15 BRUTE L/T ( 3 PLY ),1141
20260102,1325123715105SBRT0,235/75 R15 BRUTE 4X4 TT,1941
20260102,1325123715105SRXT0,235/75 R 15 RANGER X-AT TT,147
20260102,1325213612065SULX1,135/70R12 Ultima LXT 65S TL ,2779
20260102,1325213615099MSXT0,T135/70R15 STAR-XT  TL,12816
20260102,1325214612069TUHL0,145/70R12 ULTIMA HILIFE 69T TL,1483
20260102,1325214613071TTMX0,145/70 R 13 TAXIMAX TL 71T,558
20260102,1325214812074TTMX0,145/80R12 TAXIMAX TL 74T,1657
20260102,1325214812074TUHL0,145/80R12 ULTIMA HILIFE TL 74 T,2814
20260102,1325214813075STMX0,145/80R13-TAXIMAX-75S-TL,1043
20260102,1325214813075SUNE1,145/80 R13  ULTIMA  NEO TL Y0M,37526
20260102,1325215513073TUHL0,155/65R13 ULTIMA HILIFE  TL  73T,1854
20260102,1325215613075TTMX0,155/70R13 TAXIMAX TL 75T,717
20260102,1325215613075TUHL0,155/70R13 ULTIMA HILIFE TL 75T,1739
