date,SKUCode,Description,total_qty
20260102,1225119015010QSTL0,195R15 LT STEEL KING TT  10 PR,66
20260102,1225121715115SSTL0,215 / 75 R 15 STEEL KING TT,623
20260102,1225121716010SXC10,NA,481
20260102,1225121Z14112LSTL0,215 R14 STEEL KING TT,8
20260102,1225170015010LSTL0,7.00R15 STEEL KING TT 10PR,1056
20260102,1225170015012LSTL0,7.00R15 STEEL KING TT 12PR,7330
20260102,1225175016012NJTL0,7.50R16 LT JUH STEEL TT,98
20260102,1225219015008SLTB0,195/80R15 BRUTE LT 8PR S TL,647
20260102,1225219015010QSTL0,    195R15 LT STEEL KING TL  10 PR,215
20260102,1225220Z16008RXC10,205 R 16 ULTIMA XPC -1 TL,485
20260102,1225221715115SSTL0,215 / 75 R 15 STEEL KING TL,1684
20260102,1225221716010SXC10,NA,5756
20260102,1225222716121MXC11,225/75 R 16 ULTIMA XPC -1 TL VOLVO,47
20260102,1225222716121NXC11,NA,73
20260102,1225223516121PSKP0,235/65 R 16 STEEL KING+ TL,2672
20260102,1325114612069TUHL0,145/70R12 ULTIMA HILIFE69T TT,5304
20260102,1325114613071TTMX0,145/70 R 13 TAXIMAX TT  71T,274
20260102,1325114812074TUHL0,145/80R12 ULTIMA HILIFE TT 74T ,3231
20260102,1325119015008SRBT0,195 R15 LT RANGER BRT TT,39
20260102,1325119815106QBRQ0,195 / 80 R15 BRUTE TT  ,2220
20260102,1325121715100SBRT0,215/75 R15 BRUTE 4X4 TT,708
20260102,1325121715100SRBT0,NA,73
20260102,1325121715100SRXT0,215/75 R 15 RANGER X-AT  TT,2
20260102,1325121715115SLTB0,215 / 75 R 15 BRUTE L/T ( 3 PLY ),212
20260102,1325123715105SBRT0,235/75 R15 BRUTE 4X4 TT,788
20260102,1325123715105SRXT0,235/75 R 15 RANGER X-AT TT,82
20260102,1325213612065SULX1,135/70R12 Ultima LXT 65S TL ,1223
20260102,1325213615099MSXT0,T135/70R15 STAR-XT  TL,2132
20260102,1325214612069TUHL0,145/70R12 ULTIMA HILIFE 69T TL,302
20260102,1325214613071TTMX0,145/70 R 13 TAXIMAX TL 71T,40
20260102,1325214812074TTMX0,145/80R12 TAXIMAX TL 74T,344
20260102,1325214812074TUHL0,145/80R12 ULTIMA HILIFE TL 74 T,454
20260102,1325214813075STMX0,145/80R13-TAXIMAX-75S-TL,256
20260102,1325214813075SUNE1,145/80 R13  ULTIMA  NEO TL Y0M,14080
20260102,1325215513073TUHL0,155/65R13 ULTIMA HILIFE  TL  73T,609
20260102,1325215613075TTMX0,155/70R13 TAXIMAX TL 75T,86
20260102,1325215613075TUHL0,155/70R13 ULTIMA HILIFE TL 75T,488
20260102,1325215813079STMX0, 155/80R13 TAXIMAX TL 79S ,2231
20260102,1325215813079SUHL0,155/80R13 ULTIMA HILIFE TL 79 S,1065
20260102,1325215813079TUNE6,155/80R13 ULTIMA NEO 79T TL,149
20260102,1325216513077TUHL0,165/65R13 ULTIMA HILIFE 77T TL,91
20260102,1325216514079TTMX0,165/65 R 14 TAXIMAX TL,1078
20260102,1325216614081STMX0,165/70 R 14 TAXIMAX TL ,1049
20260102,1325216614081SUTR0,NA,4178
20260102,1325216614081TVECE,NA,551
20260102,1325216814085STMX0,165/80 R14 TAXIMAX TL 85S,2210
20260102,1325216814085SUTR0,165/80R14 UX TOURING TL,1258
20260102,1325216814085TURL0,16580R14 UX ROYALE TL,4947
20260102,1325217413077TUSP0,175/60R13ULTIMA SPORT TL 77T,154
20260102,1325217415081HUTR0,175/60 R 15 UX TOURING TL  81H,1929
20260102,1325217514082HURL1,175/65R14 UX ROYALE TL 82 H SASO,403
20260102,1325217514082HURL2,NA,387
20260102,1325217514082HURP0,175/65R14 UX ROYALE TL 82H (Punture Guard),414
20260102,1325217514082HVECL,175/65R14 VECTRA TL 82 H Low weight,2045
20260102,1325217514082TTMX0,175/65 R14 TAXIMAX TL  82 T,225
20260102,1325217514082TUTR0,175/65 R14 UX TOURING 82T TL,83
20260102,1325217514082TVECH,175/65R14 VECTRA TL 82 T 2UA,2358
20260102,1325217515084HURP0,NA,219
20260102,1325217613082TUNE2,NA,2159
20260102,1325217614084HURL1,175/70 R14 UX ROYALE TL 84 H SASO,34
20260102,1325217614084HURL2,175/70 R 14 UX ROYALE TL 84 H LOW WT.,1781
20260102,1325217614084HURL2,175/70 R14 UX ROYALE TL 84 H,1781
20260102,1325218414082HUSP0,NA,1807
20260102,1325218415084TTMX0,185/60 R 15 TAXIMAX TL   84T,2057
20260102,1325218514086HURL0,185/65R14 UX Royale,2391
20260102,1325218515088HTMX0,185/65 R15 TAXI MAX TL,2161
20260102,1325218515088HURL1,185/65 R15 UX ROYALE TL  88H SASO,975
20260102,1325218515088HURP0,185/65 R15 UX ROYALE TL  88H,280
20260102,1325218515088HUTR0,185/65 R15 UX TOURING TL 88 H,1902
20260102,1325218515088TURL0,185/65 R15 UX ROYALE TL  88T  YSD,1919
20260102,1325218614088HURL0,185/70R14 UX Royale,2935
20260102,1325218614088TVECE,185/70R14 Vectra,587
20260102,1325219316087VURL0,195/55R16 UX ROYALE TL  87V,375
20260102,1325219316087VURP0,195/55R16 UX ROYALE TL  87V Puncture Guard,1280
20260102,1325219316087VUTR0,195/55R16 UX TOURING TL,994
20260102,1325219416089HRHE0,195/60R16 Ranger HPE TL,1307
20260102,1325219515091VURL0,195/65 R15 UX ROYALE TL   91V,175
20260102,1325220316091VURL1,205/55 R 16 UX ROYALE TL  91V,664
20260102,1325220416092VURL0,205/60R16  UX ROYALE   TL  92V,400
20260102,1325220515094VURL1,205/65 R15 UX-ROYALE TL  94V SASO,238
20260102,1325220515094VUTR0,205/65R15 UX TOURING TL  94V,328
20260102,1325220515094VZEP0,205/65 R15 ZEPHYR  TL   94 V,92
20260102,1325220516095HTMX0,NA,1449
20260102,1325220516095HUTR0,205/65R16UX TOURING TL 95H,150
20260102,1325221317098VUX10,215/55R17UX1 TL 98 V,868
20260102,1325221416095VURL0,215/60 R16 UX ROYALE TL YAD MC -MSIL ,852
20260102,1325221417100HURL1,215/60 R17 UX ROYALE TL    100H,937
20260102,1325221715100SRHT0,215/75 R 15 RANGER HT TL,2155
20260102,1325221715100SRXT0,215/75 R 15 RANGER X-AT TL,276
20260102,1325222317101VUX10,225/55R17 UX1 101V ,1155
20260102,1325222417099HURL0,225/60R17 UX ROYAL 99H TL,104
20260102,1325223317103VUX10,NA,56
20260102,1325223517104HRHT0,235/65R17 RANHER HT TL,1224
20260102,1325223517104HRPG0,NA,362
20260102,1325223616105HRHT0,235/70R16 Ranger HT TL,521
20260102,1325223715105SRXT0,235/75 R 15 RANGER X-AT TL,777
20260102,1325226517112HRHT0,265/65R17 RANHER HT 112H TL,243
20260102,1425118916008QRBT0,185/85R16 RANGER BRUTE TT LT 105Q,231
20260102,1D25115013008QXPC0,155 R13 ULTIMA XPC Q TT,189
20260102,1D25212812074FXC10,120/80 R 12 ULTIMA XPC 1 TL,16714
20260102,1D25212812086FXPC0,120/80R12 ULTIMA XPC TL,14042
20260102,1D25213812090FXPC0,130/80R12 ULTIMA XPC TL 90 F,14694
20260102,1D25215Z13008QXPC0,155R13 ULTIMA XPC  Q TL,468
20260103,1225119015010QSTL0,195R15 LT STEEL KING TT  10 PR,66
20260103,1225121715115SSTL0,215 / 75 R 15 STEEL KING TT,542
20260103,1225121716010SXC10,NA,481
20260103,1225121Z14112LSTL0,215 R14 STEEL KING TT,8
20260103,1225170015010LSTL0,7.00R15 STEEL KING TT 10PR,1056
20260103,1225170015012LSTL0,7.00R15 STEEL KING TT 12PR,5843
20260103,1225175016012NJTL0,7.50R16 LT JUH STEEL TT,98
20260103,1225219015008SLTB0,195/80R15 BRUTE LT 8PR S TL,647
20260103,1225219015010QSTL0,    195R15 LT STEEL KING TL  10 PR,175
20260103,1225220Z16008RXC10,205 R 16 ULTIMA XPC -1 TL,485
20260103,1225221715115SSTL0,215 / 75 R 15 STEEL KING TL,1408
20260103,1225221716010SXC10,NA,5756
20260103,1225222716121MXC11,225/75 R 16 ULTIMA XPC -1 TL VOLVO,47
20260103,1225222716121NXC11,NA,73
20260103,1225223516121PSKP0,235/65 R 16 STEEL KING+ TL,3164
20260103,1325114612069TUHL0,145/70R12 ULTIMA HILIFE69T TT,5269
20260103,1325114613071TTMX0,145/70 R 13 TAXIMAX TT  71T,274
20260103,1325114812074TUHL0,145/80R12 ULTIMA HILIFE TT 74T ,2580
20260103,1325119015008SRBT0,195 R15 LT RANGER BRT TT,250
20260103,1325119815106QBRQ0,195 / 80 R15 BRUTE TT  ,2230
20260103,1325121715100SBRT0,215/75 R15 BRUTE 4X4 TT,538
20260103,1325121715100SRBT0,NA,73
20260103,1325121715100SRXT0,215/75 R 15 RANGER X-AT  TT,2
20260103,1325121715115SLTB0,215 / 75 R 15 BRUTE L/T ( 3 PLY ),212
20260103,1325123715105SBRT0,235/75 R15 BRUTE 4X4 TT,653
20260103,1325123715105SRXT0,235/75 R 15 RANGER X-AT TT,82
20260103,1325213612065SULX1,135/70R12 Ultima LXT 65S TL ,1223
20260103,1325213615099MSXT0,T135/70R15 STAR-XT  TL,2132
20260103,1325214612069TUHL0,145/70R12 ULTIMA HILIFE 69T TL,466
20260103,1325214613071TTMX0,145/70 R 13 TAXIMAX TL 71T,40
20260103,1325214812074TTMX0,145/80R12 TAXIMAX TL 74T,344
20260103,1325214812074TUHL0,145/80R12 ULTIMA HILIFE TL 74 T,454
20260103,1325214813075STMX0,145/80R13-TAXIMAX-75S-TL,126
20260103,1325214813075SUNE1,145/80 R13  ULTIMA  NEO TL Y0M,15288
20260103,1325215513073TUHL0,155/65R13 ULTIMA HILIFE  TL  73T,539
20260103,1325215613075TTMX0,155/70R13 TAXIMAX TL 75T,86
20260103,1325215613075TUHL0,155/70R13 ULTIMA HILIFE TL 75T,624
20260103,1325215813079STMX0, 155/80R13 TAXIMAX TL 79S ,1719
20260103,1325215813079SUHL0,155/80R13 ULTIMA HILIFE TL 79 S,1009
20260103,1325215813079TUNE6,155/80R13 ULTIMA NEO 79T TL,149
20260103,1325216513077TUHL0,165/65R13 ULTIMA HILIFE 77T TL,71
20260103,1325216514079TTMX0,165/65 R 14 TAXIMAX TL,1088
20260103,1325216614081STMX0,165/70 R 14 TAXIMAX TL ,1377
20260103,1325216614081SUTR0,NA,3636
20260103,1325216614081TVECE,NA,551
20260103,1325216814085STMX0,165/80 R14 TAXIMAX TL 85S,1834
20260103,1325216814085SUTR0,165/80R14 UX TOURING TL,1332
20260103,1325216814085TURL0,16580R14 UX ROYALE TL,3822
20260103,1325217413077TUSP0,175/60R13ULTIMA SPORT TL 77T,154
20260103,1325217415081HUTR0,175/60 R 15 UX TOURING TL  81H,2219
20260103,1325217514082HURL1,175/65R14 UX ROYALE TL 82 H SASO,403
20260103,1325217514082HURL2,NA,387
20260103,1325217514082HURP0,175/65R14 UX ROYALE TL 82H (Punture Guard),414
20260103,1325217514082HVECL,175/65R14 VECTRA TL 82 H Low weight,2045
20260103,1325217514082TTMX0,175/65 R14 TAXIMAX TL  82 T,225
20260103,1325217514082TUTR0,175/65 R14 UX TOURING 82T TL,83
20260103,1325217514082TVECH,175/65R14 VECTRA TL 82 T 2UA,2358
20260103,1325217515084HURP0,NA,219
20260103,1325217613082TUNE2,NA,2277
20260103,1325217614084HURL1,175/70 R14 UX ROYALE TL 84 H SASO,34
20260103,1325217614084HURL2,175/70 R 14 UX ROYALE TL 84 H LOW WT.,1781
20260103,1325217614084HURL2,175/70 R14 UX ROYALE TL 84 H,1781
20260103,1325218414082HUSP0,NA,1807
20260103,1325218415084TTMX0,185/60 R 15 TAXIMAX TL   84T,1773
20260103,1325218514086HURL0,185/65R14 UX Royale,2391
20260103,1325218515088HTMX0,185/65 R15 TAXI MAX TL,1680
20260103,1325218515088HURL1,185/65 R15 UX ROYALE TL  88H SASO,975
20260103,1325218515088HURP0,185/65 R15 UX ROYALE TL  88H,255
20260103,1325218515088HUTR0,185/65 R15 UX TOURING TL 88 H,1348
20260103,1325218515088TURL0,185/65 R15 UX ROYALE TL  88T  YSD,1845
20260103,1325218614088HURL0,185/70R14 UX Royale,2935
20260103,1325218614088TVECE,185/70R14 Vectra,587
20260103,1325219316087VURL0,195/55R16 UX ROYALE TL  87V,375
20260103,1325219316087VURP0,195/55R16 UX ROYALE TL  87V Puncture Guard,1260
20260103,1325219316087VUTR0,195/55R16 UX TOURING TL,940
20260103,1325219416089HRHE0,195/60R16 Ranger HPE TL,1229
20260103,1325219515091VURL0,195/65 R15 UX ROYALE TL   91V,175
20260103,1325220316091VURL1,205/55 R 16 UX ROYALE TL  91V,664
20260103,1325220416092VURL0,205/60R16  UX ROYALE   TL  92V,400
20260103,1325220515094VURL1,205/65 R15 UX-ROYALE TL  94V SASO,238
20260103,1325220515094VUTR0,205/65R15 UX TOURING TL  94V,652
20260103,1325220515094VZEP0,205/65 R15 ZEPHYR  TL   94 V,92
20260103,1325220516095HTMX0,NA,1275
20260103,1325220516095HUTR0,205/65R16UX TOURING TL 95H,150
20260103,1325221317098VUX10,215/55R17UX1 TL 98 V,868
20260103,1325221416095VURL0,215/60 R16 UX ROYALE TL YAD MC -MSIL ,852
20260103,1325221417100HURL1,215/60 R17 UX ROYALE TL    100H,921
20260103,1325221715100SRHT0,215/75 R 15 RANGER HT TL,1696
20260103,1325221715100SRXT0,215/75 R 15 RANGER X-AT TL,276
20260103,1325222317101VUX10,225/55R17 UX1 101V ,1155
20260103,1325222417099HURL0,225/60R17 UX ROYAL 99H TL,104
20260103,1325223317103VUX10,NA,56
20260103,1325223517104HRHT0,235/65R17 RANHER HT TL,892
20260103,1325223517104HRPG0,NA,332
20260103,1325223616105HRHT0,235/70R16 Ranger HT TL,285
20260103,1325223715105SRXT0,235/75 R 15 RANGER X-AT TL,465
20260103,1325226517112HRHT0,265/65R17 RANHER HT 112H TL,243
20260103,1425118916008QRBT0,185/85R16 RANGER BRUTE TT LT 105Q,231
20260103,1D25115013008QXPC0,155 R13 ULTIMA XPC Q TT,189
20260103,1D25212812074FXC10,120/80 R 12 ULTIMA XPC 1 TL,16855
20260103,1D25212812086FXPC0,120/80R12 ULTIMA XPC TL,14850
20260103,1D25213812090FXPC0,130/80R12 ULTIMA XPC TL 90 F,15331
20260103,1D25215Z13008QXPC0,155R13 ULTIMA XPC  Q TL,468
20260104,1225119015010QSTL0,195R15 LT STEEL KING TT  10 PR,66
20260104,1225121715115SSTL0,215 / 75 R 15 STEEL KING TT,596
20260104,1225121716010SXC10,NA,481
20260104,1225121Z14112LSTL0,215 R14 STEEL KING TT,8
