SKUCode,Description,volume
1225119015010QSTL0,195R15 LT STEEL KING TT  10 PR,12
1225121715115SSTL0,215 / 75 R 15 STEEL KING TT,7787
1225121716010SXC10,NA,1089
1225121Z14112LSTL0,215 R14 STEEL KING TT,19
1225170015010LSTL0,7.00R15 STEEL KING TT 10PR,12224
1225170015012LSTL0,7.00R15 STEEL KING TT 12PR,71579
1225175016012NJTL0,7.50R16 LT JUH STEEL TT,150
1225219015008SLTB0,195/80R15 BRUTE LT 8PR S TL,140
1225219015010QSTL0,    195R15 LT STEEL KING TL  10 PR,118
1225220Z16008RXC10,205 R 16 ULTIMA XPC -1 TL,390
1225221715115SSTL0,215 / 75 R 15 STEEL KING TL,13572
1225221716010SXC10,NA,2479
1225222716121MXC11,225/75 R 16 ULTIMA XPC -1 TL VOLVO,72
1225222716121NXC11,NA,100
1225223516121PSKP0,235/65 R 16 STEEL KING+ TL,10095
1325114612069TUHL0,145/70R12 ULTIMA HILIFE69T TT,1971
1325114613071TTMX0,145/70 R 13 TAXIMAX TT  71T,443
1325114812074TUHL0,145/80R12 ULTIMA HILIFE TT 74T ,20662
1325119015008SRBT0,195 R15 LT RANGER BRT TT,4001
1325119815106QBRQ0,195 / 80 R15 BRUTE TT  ,12276
1325121715100SBRT0,215/75 R15 BRUTE 4X4 TT,3179
1325121715100SRBT0,NA,719
1325121715100SRXT0,215/75 R 15 RANGER X-AT  TT,96
1325121715115SLTB0,215 / 75 R 15 BRUTE L/T ( 3 PLY ),749
1325123715105SBRT0,235/75 R15 BRUTE 4X4 TT,6376
1325123715105SRXT0,235/75 R 15 RANGER X-AT TT,10
1325213612065SULX1,135/70R12 Ultima LXT 65S TL ,4155
1325213615099MSXT0,T135/70R15 STAR-XT  TL,10400
1325214612069TUHL0,145/70R12 ULTIMA HILIFE 69T TL,894
1325214613071TTMX0,145/70 R 13 TAXIMAX TL 71T,1664
1325214812074TTMX0,145/80R12 TAXIMAX TL 74T,5883
1325214812074TUHL0,145/80R12 ULTIMA HILIFE TL 74 T,12611
1325214813075STMX0,145/80R13-TAXIMAX-75S-TL,782
1325214813075SUNE1,145/80 R13  ULTIMA  NEO TL Y0M,66354
1325215513073TUHL0,155/65R13 ULTIMA HILIFE  TL  73T,2105
1325215613075TTMX0,155/70R13 TAXIMAX TL 75T,1085
1325215613075TUHL0,155/70R13 ULTIMA HILIFE TL 75T,4200
1325215813079STMX0, 155/80R13 TAXIMAX TL 79S ,12127
1325215813079SUHL0,155/80R13 ULTIMA HILIFE TL 79 S,7276
1325215813079TUNE6,155/80R13 ULTIMA NEO 79T TL,39
1325216513077TUHL0,165/65R13 ULTIMA HILIFE 77T TL,867
1325216514079TTMX0,165/65 R 14 TAXIMAX TL,1688
1325216614081STMX0,165/70 R 14 TAXIMAX TL ,12907
1325216614081SUTR0,NA,8000
1325216614081TVECE,NA,614
1325216814085STMX0,165/80 R14 TAXIMAX TL 85S,39912
1325216814085SUTR0,165/80R14 UX TOURING TL,6677
1325216814085TURL0,16580R14 UX ROYALE TL,15013
1325217413077TUSP0,175/60R13ULTIMA SPORT TL 77T,2016
1325217415081HUTR0,175/60 R 15 UX TOURING TL  81H,63
1325217514082HURL1,175/65R14 UX ROYALE TL 82 H SASO,146
1325217514082HURL2,NA,1996
1325217514082HURP0,175/65R14 UX ROYALE TL 82H (Punture Guard),270
1325217514082HVECL,175/65R14 VECTRA TL 82 H Low weight,6005
1325217514082TTMX0,175/65 R14 TAXIMAX TL  82 T,6419
1325217514082TUTR0,175/65 R14 UX TOURING 82T TL,37
1325217514082TVECH,175/65R14 VECTRA TL 82 T 2UA,2002
1325217515084HURP0,NA,285
1325217613082TUNE2,NA,2100
1325217614084HURL1,175/70 R14 UX ROYALE TL 84 H SASO,38
1325217614084HURL2,175/70 R 14 UX ROYALE TL 84 H LOW WT.,5457
1325217614084HURL2,175/70 R14 UX ROYALE TL 84 H,5457
1325218414082HUSP0,NA,190
1325218415084TTMX0,185/60 R 15 TAXIMAX TL   84T,2923
1325218514086HURL0,185/65R14 UX Royale,3324
1325218515088HTMX0,185/65 R15 TAXI MAX TL,20096
1325218515088HURL1,185/65 R15 UX ROYALE TL  88H SASO,402
1325218515088HURP0,185/65 R15 UX ROYALE TL  88H,367
1325218515088HUTR0,185/65 R15 UX TOURING TL 88 H,6531
1325218515088TURL0,185/65 R15 UX ROYALE TL  88T  YSD,3939
1325218614088HURL0,185/70R14 UX Royale,61
1325218614088TVECE,185/70R14 Vectra,1698
1325219316087VURL0,195/55R16 UX ROYALE TL  87V,5688
1325219316087VURP0,195/55R16 UX ROYALE TL  87V Puncture Guard,252
1325219316087VUTR0,195/55R16 UX TOURING TL,8583
1325219416089HRHE0,195/60R16 Ranger HPE TL,3219
1325219515091VURL0,195/65 R15 UX ROYALE TL   91V,96
1325220316091VURL1,205/55 R 16 UX ROYALE TL  91V,1500
1325220416092VURL0,205/60R16  UX ROYALE   TL  92V,703
1325220515094VURL1,205/65 R15 UX-ROYALE TL  94V SASO,50
1325220515094VUTR0,205/65R15 UX TOURING TL  94V,3709
1325220515094VZEP0,205/65 R15 ZEPHYR  TL   94 V,235
1325220516095HTMX0,NA,4658
1325220516095HUTR0,205/65R16UX TOURING TL 95H,1812
1325221317098VUX10,215/55R17UX1 TL 98 V,94
1325221416095VURL0,215/60 R16 UX ROYALE TL YAD MC -MSIL ,15037
1325221417100HURL1,215/60 R17 UX ROYALE TL    100H,12067
1325221715100SRHT0,215/75 R 15 RANGER HT TL,13094
1325221715100SRXT0,215/75 R 15 RANGER X-AT TL,1837
1325222317101VUX10,225/55R17 UX1 101V ,10
1325222417099HURL0,225/60R17 UX ROYAL 99H TL,365
1325223517104HRHT0,235/65R17 RANHER HT TL,6147
1325223517104HRPG0,NA,498
1325223616105HRHT0,235/70R16 Ranger HT TL,1572
1325223715105SRXT0,235/75 R 15 RANGER X-AT TL,2548
1325226517112HRHT0,265/65R17 RANHER HT 112H TL,450
1425118916008QRBT0,185/85R16 RANGER BRUTE TT LT 105Q,6312
1D25115013008QXPC0,155 R13 ULTIMA XPC Q TT,337
1D25212812074FXC10,120/80 R 12 ULTIMA XPC 1 TL,22544
1D25212812086FXPC0,120/80R12 ULTIMA XPC TL,16606
1D25213812090FXPC0,130/80R12 ULTIMA XPC TL 90 F,28787
1D25215Z13008QXPC0,155R13 ULTIMA XPC  Q TL,4496
